site_id,site_name,county,latitude,longitude,aqi,pm25,status,pollutant,publish_time,wind_speed,wind_direction
1,基隆,基隆市,25.129167,121.760056,86,17.0,普通,懸浮微粒,2026/02/24 21:00:00,0.3,342
2,汐止,新北市,25.06624,121.64081,77,25.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.6,38
4,新店,新北市,24.977222,121.537778,73,19.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.5,109
5,土城,新北市,24.982528,121.451861,75,18.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.2,155
6,板橋,新北市,25.012972,121.458667,87,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.9,19
7,新莊,新北市,25.037972,121.4325,87,27.0,普通,細懸浮微粒,2026/02/24 21:00:00,2.4,36
8,菜寮,新北市,25.06895,121.481028,83,25.0,普通,懸浮微粒,2026/02/24 21:00:00,1.4,287
9,林口,新北市,25.07798949,121.36548982,71,15.0,普通,懸浮微粒,2026/02/24 21:00:00,0.8,27
10,淡水,新北市,25.1645,121.449239,92,18.0,普通,懸浮微粒,2026/02/24 21:00:00,,
11,士林,臺北市,25.10334003,121.51666356,78,21.0,普通,懸浮微粒,2026/02/24 21:00:00,0.2,3
12,中山,臺北市,25.062361,121.526528,78,22.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.7,124
13,萬華,臺北市,25.046503,121.507972,73,24.0,普通,懸浮微粒,2026/02/24 21:00:00,0.8,14
14,古亭,臺北市,25.020608,121.529556,73,25.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.2,43
15,松山,臺北市,25.05,121.578611,81,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.3,50
16,大同,臺北市,25.06331455,121.51342074,82,28.0,普通,細懸浮微粒,2026/02/24 21:00:00,-,-
17,桃園,桃園市,24.9947107,121.30500531,91,24.0,普通,細懸浮微粒,2026/02/24 21:00:00,0.9,322
18,大園,桃園市,25.06100357,121.20251473,89,18.0,普通,懸浮微粒,2026/02/24 21:00:00,1.8,32
19,觀音,桃園市,25.03556747,121.08283092,78,14.0,普通,細懸浮微粒,2026/02/24 21:00:00,1.3,34
